customer_id,full_name,email,phone,signup_date,customer_segment,anonymized_key
1,Krit Sukhum,krit.sukhum1@example.com,0846913810,2022-09-30,Retail,61ed74f2d1cea1299c55dd19deecb522
2,Krit Rung,krit.rung2@example.com,0821668732,2024-09-24,Retail,c92c4aa413690607b2e4aeb1d4fc1146
3,Suriya Phanich,suriya.phanich3@example.com,0877827638,2020-04-18,Retail,35d29c185fe555eeae1da52d37d89c22
4,Anan Manop,anan.manop4@example.com,0839587039,2025-01-13,Retail,4620d3ea247a88f9a0c7acde877940ce
5,Aran Wattanakul,aran.wattanakul5@example.com,0866722344,2023-10-25,Retail,e240e95c1cbbbf3bfe4bd82913200959
6,Nicha Chaiyaporn,nicha.chaiyaporn6@example.com,0822448136,2024-04-05,Retail,ca6aa0ee385af6ac6a671f3ec84313e3
7,Nicha Noppawan,nicha.noppawan7@example.com,0845503389,2020-06-26,Retail,33c693c5dc5e797369f69564ec580637
8,Maya Chaiyaporn,maya.chaiyaporn8@example.com,0884093639,2023-04-15,Retail,60630ba0eaa3a742b132d788f769122b
9,Nicha Noppawan,nicha.noppawan9@example.com,0835808537,2020-10-11,Retail,d3c2d782928774a92ea386d4d4c7fa54
10,Pim Chaiyaporn,pim.chaiyaporn10@example.com,0841244663,2021-02-17,Retail,fee239f97c583b2e02f6473aee810a6a
11,Nicha Wattanakul,nicha.wattanakul11@example.com,0859684848,2023-12-26,Retail,418d6d55c8511452ab680df9434ddee5
12,Krit Noppawan,krit.noppawan12@example.com,0895225343,2021-12-01,Retail,ff03b9812314f5653e24ccb61ba4d57e
13,Niran Phan,niran.phan13@example.com,0860929647,2023-01-10,Retail,45c1eca1986d31296c77d8f2fb1f5391
14,Suriya Srisai,suriya.srisai14@example.com,0817507864,2022-07-27,SME,4d0e5961383aa6a48c6163e066b705a8
15,Maya Kittipong,maya.kittipong15@example.com,0818883684,2022-05-14,SME,6593995d5aa8e50fbac8d79905d4efb3
16,Nicha Phanich,nicha.phanich16@example.com,0897971488,2025-08-06,SME,3b876c559a48556daf8624e168560987
17,Somchai Wattanakul,somchai.wattanakul17@example.com,0845551614,2021-07-25,Retail,0cf811e4bd0f54f78eaddafb7099d840
18,Anan Kittipong,anan.kittipong18@example.com,0888461803,2024-10-20,Retail,ca236230f222fd50e6cae51ef605f45f
19,Suriya Wattanakul,suriya.wattanakul19@example.com,0878387461,2025-07-14,SME,901c52bf701dfc4f5f92556844d920c5
20,Krit Wattanakul,krit.wattanakul20@example.com,0894214382,2021-10-17,Retail,00c408dc3263f49d10ad137071205f5d
